招录机关名称    职位名称    职位编码    缴费人数
高县人民检察院    司法行政人员（宣传）    34015078    10
筠连县人民检察院    侦查员    34015079    3
珙县人民检察院    司法行政人员    34015080    57
珙县人民检察院    司法行政人员（计算机）    34015081    15
兴文县人民检察院    侦查员    34015082    45
屏山县人民检察院    检察官助理    34015083    2
天全县人民检察院    侦查员    34016093    23
石棉县人民检察院    侦查员    34016094    11
阿坝州人民检察院    检察辅助人员    34017103    17
阿坝州人民检察院    司法行政人员（档案管理）    34017104    0
壤塘县人民检察院    侦查员    34017105    4
九龙县人民检察院    侦查员    34018106    1
九龙县人民检察院    司法行政人员（会计）    34018107    12
炉霍县人民检察院    侦查员    34018108    1
白玉县人民检察院    司法行政人员（会计）    34018109    8
德格县人民检察院    侦查员    34018110    16
西昌市人民检察院    侦查员    34019111    2
西昌市人民检察院    司法行政人员（宣传）    34019112    43
会东县人民检察院    侦查员    34019113    9
布拖县人民检察院    侦查员    34019114    1
雷波县人民检察院    检察官助理    34019115    1
甘洛县人民检察院    司法行政人员（宣传）    34019116    6
甘洛县人民检察院    侦查员    34019117    15
越西县人民检察院    检察官助理    34019118    0
盐源县人民检察院    检察辅助人员    34019119    3
盐源县人民检察院    司法行政人员（宣传）    34019120    15
眉山市彭山区人民检察院    检察官助理    34020095    9
眉山市彭山区人民检察院    侦查员    34020096    7
青神县人民检察院    司法行政人员（宣传）    34020097    27
资阳市雁江区人民检察院    检察官助理    34023098    5
资阳市雁江区人民检察院    侦查员    34023099    8
资阳市雁江区人民检察院    司法行政人员（宣传）    34023100    16
资阳市雁江区人民检察院    司法行政人员（计算机）    34023101    19
安岳县人民检察院    侦查员    34023102    2
四川省成都病残人员强制隔离戒毒所    金融财会    42000001    69
四川省成都病残人员强制隔离戒毒所    管理教育    42000002    68
四川省成都病残人员强制隔离戒毒所    医学    42000003    5
四川省新华强制隔离戒毒所    护理    42000004    87
四川省新华强制隔离戒毒所    金融财会    42000005    51
四川省新华强制隔离戒毒所    管理教育    42000006    10
四川省新华强制隔离戒毒所    医学    42000007    5
四川省绵阳强制隔离戒毒所    习艺矫治    42000008    24
四川省绵阳强制隔离戒毒所    教育矫治    42000009    27
